,mean_arr,var_arr,skew_arr,kurtosis_arr,parms_octave,parms_frequency,parms_persistence
82,0.022546118,0.103017524,0.040889236,2.132434061,83,128,0.8
83,0.546625,0.14588937,0.257310588,2.67203551,84,128,0.8
84,-0.7739217,0.10919042,0.599925951,3.119495161,85,128,0.8
85,-0.20398432,0.074489236,-0.491790374,2.979508477,86,128,0.8
86,0.111880116,0.090232864,-0.726401642,3.103494052,87,128,0.8
87,-0.15495995,0.10136649,0.608036958,3.158846337,88,128,0.8
88,0.04585044,0.1411415,-0.41345004,3.696781151,89,128,0.8
89,0.10449408,0.062830776,0.148207128,2.752886637,90,128,0.8
90,0.53909254,0.07620068,-0.023857411,2.691980539,91,128,0.8
91,0.050807383,0.1376559,-0.597923284,2.731375333,92,128,0.8
92,-0.23263635,0.17157893,0.143691388,2.325931445,93,128,0.8
93,0.106315,0.074815884,0.123476166,2.83286313,94,128,0.8
94,-0.605582,0.10977196,0.158779825,2.455883895,95,128,0.8
95,0.10827498,0.077808455,-0.162274816,2.401936557,96,128,0.8
96,-0.12914903,0.08960003,-0.145364692,2.823452468,97,128,0.8
97,-0.21553671,0.076009944,0.382215427,3.488804897,98,128,0.8
98,-0.4924882,0.067843705,0.272255023,2.839473692,99,128,0.8
99,-0.4464093,0.09398228,-0.045242774,2.566437239,100,128,0.8
